"Name","Pin","Function","Power, Clock, Debug, System","GPT","SCI","CANFD","SPI","GPT_OPS","IRQ","BUS","SDRAM","ADC1(Digital)","ULPT","GPT_POEGB","SDHI","GPT_POEGD","ADC0(Digital)","GPT_POEGA","ESWM_GMII/MII","ESWM_RGMII","CMPOUT","ESC","ESWM_RMII","USB FS","ADC(Digital)","GPT_POEGC","AGT","CLKOUT","JTAG/SWD","ETHPHYCLK","CAC","DSMIF","RTC","OSPI","IIC","ADC","I3C","ACMPHS","DAC","Symbolic Name","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities","Pin Function Comment","Direction","Remarks","Pin Number Comment",
"AVCC0","R9","CGC_AVCC0","AVCC0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"AVSS0","R10","CGC_AVSS0","AVSS0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IO","Read only","",
"P000","U13","ADC0_AN000","","","","","","","IRQ6-DS","","","","","","","","","","","","","","","","","","","","","","","","","","","AN000","","IVCMP2","","","","","Analog mode","","","ACMPHS: IVCMP2
ADC0: AN000
IRQ: IRQ6-DS","","I","","",
"P001","T13","ADC0_AN001","","","","","","","IRQ7-DS","","","","","","","","","","","","","","","","","","","","","","","","","","","AN001","","IVCMP3","","","","","Analog mode","","","ACMPHS: IVCMP3
ADC0: AN001
IRQ: IRQ7-DS","","I","","",
"P002","U14","ADC0_AN002","","","","","","","IRQ8-DS","","","","","","","","","","","","","","","","","","","","","","","","","","","AN002","","IVCMP2","","","","","Analog mode","","","ACMPHS: IVCMP2
ADC0: AN002
IRQ: IRQ8-DS","","I","","",
"P003","R12","ADC0_AN003","","","","","","","IRQ29","","","","","","","","","","","","","","","","","","","","","","","","","","","AN003","","IVCMP3","","","","","Analog mode","","","ACMPHS: IVCMP3
ADC0: AN003
IRQ: IRQ29","","I","","",
"P004","T11","ADC0_AN004","","","","","","","IRQ9-DS","","","","","","","","","","","","","","","","","","","","","","","","","","","AN004","","IVCMP2","","","","","Analog mode","","","ACMPHS: IVCMP2
ADC0: AN004
IRQ: IRQ9-DS","","I","","",
"P005","R11","ADC0_AN005","","","","","","","IRQ10-DS","","","","","","","","","","","","","","","","","","","","","","","","","","","AN005","","IVCMP3","","","","","Analog mode","","","ACMPHS: IVCMP3
ADC0: AN005
IRQ: IRQ10-DS","","I","","",
"P006","U12","ADC1_AN006","","","","","","","IRQ11-DS","","","","","","","","","","","","","","","","","","","","","","","","","","","AN006","","IVCMP2","","","","","Analog mode","","","ACMPHS: IVCMP2
ADC1: AN006
IRQ: IRQ11-DS","","I","","",
"P007","T12","ADC1_AN007","","","","","","","IRQ28","","","","","","","","","","","","","","","","","","","","","","","","","","","AN007","","IVCMP3","","","","","Analog mode","","","ACMPHS: IVCMP3
ADC1: AN007
IRQ: IRQ28","","I","","",
"P008","U11","ADC1_AN008","","","","","","","IRQ12-DS","","","","","","","","","","","","","","","","","","","","","","","","","","","AN008","","IVREF0","","","","","Analog mode","","","ACMPHS: IVREF0
ADC1: AN008
IRQ: IRQ12-DS","","I","","",
"P009","P11","ADC1_AN009","","","","","","","IRQ13-DS","","","","","","","","","","","","","","","","","","","","","","","","","","","AN009","","IVREF1","","","","","Analog mode","","","ACMPHS: IVREF1
ADC1: AN009
IRQ: IRQ13-DS","","I","","",
"P010","P10","ADC1_AN010","","","","","","","IRQ14","","","","","","","","","","","","","","","","","","","","","","","","","","","AN010","","","","","","","Analog mode","","","ADC1: AN010
IRQ: IRQ14","","I","","",
"P011","N10","ADC1_AN011","","","","","","","IRQ16","","","","","","","","","","","","","","","","","","","","","","","","","","","AN011","","","","","","","Analog mode","","","ADC1: AN011
IRQ: IRQ16","","I","","",
"P012","P9","ADC0_AN012","","","","","","","IRQ15","","","","","","","","","","","","","","","","","","","","","","","","","","","AN012","","","","","","","Analog mode","","","ADC0: AN012
IRQ: IRQ15","","I","","",
"P013","N9","ADC1_AN013","","","","","","","IRQ14","","","","","","","","","","","","","","","","","","","","","","","","","","","AN013","","","","","","","Analog mode","","","ADC1: AN013
IRQ: IRQ14","","I","","",
"P014","T8","ADC0_AN014","","","","","","","IRQ27","","","","","","","","","","","","","","","","","","","","","","","","","","","AN014","","IVCMP0","DA0","","","","Analog mode","","","ACMPHS: IVCMP0
ADC0: AN014
DAC120: DA0
IRQ: IRQ27","","I","","",
"P015","U8","ADC1_AN015","","","","","","","IRQ13","","","","","","","","","","","","","","","","","","","","","","","","","","","AN015","","IVCMP0","DA1","","","","Analog mode","","","ACMPHS: IVCMP0
ADC1: AN015
DAC121: DA1
IRQ: IRQ13","","I","","",
"P100","U6","GPIO","","GTIOC8B","DE9/SCK9","","MISO1","","IRQ2","","","","","","","","","GTETRGA","GPTP1_MATCH","GPTP1_MATCH","","CATI2CDATA","GPTP1_MATCH","","","","AGTIO0","","","","","DSM0CLK2","","OM_0_SIO0","","","","","","","","None","Input mode","","","AGT0: AGTIO0
DSMIF0: DSM0CLK2
ESC: CATI2CDATA
ESWM_GMII/MII: GPTP1_MATCH
ESWM_RGMII1: GPTP1_MATCH
ESWM_RMII1: GPTP1_MATCH
GPT8: GTIOC8B
GPT_POEGA: GTETRGA
IRQ: IRQ2
OSPI0: OM_0_SIO0
SCI9: DE9
SCI9: SCK9
SPI1: MISO1","","IO","","",
"P101","R5","GPT_POEGB_GTETRGB","","GTIOC8A","RXD9","","MOSI1","","IRQ1","","","","","GTETRGB","","","","","GPTP1_CAPTURE","GPTP1_CAPTURE","","CATI2CCLK","GPTP1_CAPTURE","","","","AGTEE0","","","","","DSM0CLK1","","OM_0_SIO3","","","","","","","L","None","Peripheral mode","","","AGT0: AGTEE0
DSMIF0: DSM0CLK1
ESC: CATI2CCLK
ESWM_GMII/MII: GPTP1_CAPTURE
ESWM_RGMII1: GPTP1_CAPTURE
ESWM_RMII1: GPTP1_CAPTURE
GPT8: GTIOC8A
GPT_POEGB: GTETRGB
IRQ: IRQ1
OSPI0: OM_0_SIO3
SCI9: RXD9
SPI1: MOSI1","","I","","",
"P102","P5","GPT2_GTIOC2B","","GTIOC2B","TXD9","CRX0","RSPCK1","GTOWLO","IRQ17","","","","","","","","ADTRG0","","","","","","","","","","AGTO0","","","","","DSM0CLK0","","OM_0_SIO4","","","","","","","L","None","Peripheral mode","","","ADC0(Digital): ADTRG0
AGT0: AGTO0
CANFD0: CRX0
DSMIF0: DSM0CLK0
GPT2: GTIOC2B
GPT_OPS: GTOWLO
IRQ: IRQ17
OSPI0: OM_0_SIO4
SCI9: TXD9
SPI1: RSPCK1","","IO","","",
"P103","R4","GPT2_GTIOC2A","","GTIOC2A","DE9/CTS_RTS9","CTX0","SSLB0","GTOWUP","IRQ16","","","AD1FLAG1","","","","","","","GPTP0_PPS","GPTP0_PPS","","CATLATCH1","GPTP0_PPS","","","","","","","","","DSM0DAT2","","OM_0_SIO2","","","","","","","L","None","Peripheral mode","","","ADC1(Digital): AD1FLAG1
CANFD0: CTX0
DSMIF0: DSM0DAT2
ESC: CATLATCH1
ESWM_GMII/MII: GPTP0_PPS
ESWM_RGMII0: GPTP0_PPS
ESWM_RMII0: GPTP0_PPS
GPT2: GTIOC2A
GPT_OPS: GTOWUP
IRQ: IRQ16
OSPI0: OM_0_SIO2
SCI9: CTS_RTS9
SCI9: DE9
SPI1: SSLB0","","IO","","",
"P104","M6","","","GTIOC1B","CTS9","","SSLB1","","IRQ1","","","","","GTETRGB","","","AD0FLAG1","","GPTP0_MATCH","GPTP0_MATCH","","CATLATCH0","GPTP0_MATCH","","","","","","","","","DSM0DAT1","","OM_0_CS1","","","","","","","","","Disabled","","","ADC0(Digital): AD0FLAG1
DSMIF0: DSM0DAT1
ESC: CATLATCH0
ESWM_GMII/MII: GPTP0_MATCH
ESWM_RGMII0: GPTP0_MATCH
ESWM_RMII0: GPTP0_MATCH
GPT1: GTIOC1B
GPT_POEGB: GTETRGB
IRQ: IRQ1
OSPI0: OM_0_CS1
SCI9: CTS9
SPI1: SSLB1","","None","","",
"P105","N7","","","GTIOC1A","CTS_RTS8/DE8","","SSLB2","","IRQ0","","","","ULPTO1-DS","","","","","","GPTP0_CAPTURE","GPTP0_CAPTURE","","CATSYNC1","GPTP0_CAPTURE","","ADSYNC","","","","","","","DSM0DAT0","","OM_0_ECSINT1","","","","","","","","","Disabled","","","ADC(Digital): ADSYNC
DSMIF0: DSM0DAT0
ESC: CATSYNC1
ESWM_GMII/MII: GPTP0_CAPTURE
ESWM_RGMII0: GPTP0_CAPTURE
ESWM_RMII0: GPTP0_CAPTURE
GPT1: GTIOC1A
IRQ: IRQ0
OSPI0: OM_0_ECSINT1
SCI8: CTS_RTS8
SCI8: DE8
SPI1: SSLB2
ULPT1: ULPTO1-DS","","None","","",
"P106","N6","","","GTIOC8B","CTS8","","SSLB3","GTOWLO","IRQ16","","","ADST1","ULPTEE1-DS","","","","","","ET1_LINKSTA","ET1_LINKSTA","","CAT1_LINKSTA","ET1_LINKSTA","","","","AGTOB0","","","","","","","OM_0_RESET","","","","","","","","","Disabled","","","ADC1(Digital): ADST1
AGT0: AGTOB0
ESC1: CAT1_LINKSTA
ESWM_GMII/MII: ET1_LINKSTA
ESWM_RGMII1: ET1_LINKSTA
ESWM_RMII1: ET1_LINKSTA
GPT8: GTIOC8B
GPT_OPS: GTOWLO
IRQ: IRQ16
OSPI0: OM_0_RESET
SCI8: CTS8
SPI1: SSLB3
ULPT1: ULPTEE1-DS","","None","","",
"P107","N5","","","GTIOC8A","CTS4","","","GTOWUP","IRQ31","","","","","","","","ADST0","","ET1_INT","ET1_INT","","","ET1_INT","","","","AGTOA0","","","","","","","OM_0_CS0","","","","","","","","","Disabled","","","ADC0(Digital): ADST0
AGT0: AGTOA0
ESWM_GMII/MII: ET1_INT
ESWM_RGMII1: ET1_INT
ESWM_RMII1: ET1_INT
GPT8: GTIOC8A
GPT_OPS: GTOWUP
IRQ: IRQ31
OSPI0: OM_0_CS0
SCI4: CTS4","","None","","",
"P108","D8","","","GTIOC10B","","","","","IRQ24","","","","","","SD0DAT6","","","","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","GPT10: GTIOC10B
IRQ: IRQ24
SDHI0: SD0DAT6","","None","","",
"P109","D7","","","GTIOC10A","","","","","IRQ23","","","","","","SD0DAT5","","","","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","GPT10: GTIOC10A
IRQ: IRQ23
SDHI0: SD0DAT5","","None","","",
"P110","C8","GPIO","","GTIOC9B","","","","","IRQ20","","","","","","SD0DAT4","","","","","","","","","","","","","","","","","","","","","","","","","","","None","Input mode","","","GPT9: GTIOC9B
IRQ: IRQ20
SDHI0: SD0DAT4","","IO","","",
"P111","E8","","","GTIOC9A","","","","","IRQ19","","","","","","SD0DAT3","","","","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","GPT9: GTIOC9A
IRQ: IRQ19
SDHI0: SD0DAT3","","None","","",
"P112","A4","GPT_POEGA_GTETRGA","","GTIOC3B","TXD0","","SSLA2","","IRQ27","D3","DQ3","","ULPTOB0-DS","","SD0DAT4","","ADST0","GTETRGA","","","","","","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","ADC0(Digital): ADST0
BUS: D3
GPT3: GTIOC3B
GPT_POEGA: GTETRGA
IRQ: IRQ27
SCI0: TXD0
SDHI0: SD0DAT4
SDRAM: DQ3
SPI0: SSLA2
ULPT0: ULPTOB0-DS","","I","","",
"P113","A2","SPI0_SSLA1","","GTIOC2A","RXD0","","SSLA1","","IRQ28","D4","DQ4","ADST1","ULPTOA0-DS","GTETRGB","SD0DAT5","","","","","","","","","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","ADC1(Digital): ADST1
BUS: D4
GPT2: GTIOC2A
GPT_POEGB: GTETRGB
IRQ: IRQ28
SCI0: RXD0
SDHI0: SD0DAT5
SDRAM: DQ4
SPI0: SSLA1
ULPT0: ULPTOA0-DS","","O","","",
"P114","B3","SPI0_SSLA0","","GTIOC2B","DE0/CTS_RTS0","","SSLA0","","IRQ30-DS","D5","DQ5","","","","SD0DAT6","","","","","","","","","","ADSYNC","GTETRGC","","","","","","","","","","","","","","","M","None","Peripheral mode","","","ADC(Digital): ADSYNC
BUS: D5
GPT2: GTIOC2B
GPT_POEGC: GTETRGC
IRQ: IRQ30-DS
SCI0: CTS_RTS0
SCI0: DE0
SDHI0: SD0DAT6
SDRAM: DQ5
SPI0: SSLA0","","IO","","",
"P115","A3","SPI0_MOSI0","","GTIOC5A","CTS0","","MOSI0","","IRQ31-DS","D6","DQ6","","","","SD0DAT7","GTETRGD","AD0FLAG1","","","","","","","","","","","","","","","","","","","","","","","","M","None","Peripheral mode","","","ADC0(Digital): AD0FLAG1
BUS: D6
GPT5: GTIOC5A
GPT_POEGD: GTETRGD
IRQ: IRQ31-DS
SCI0: CTS0
SDHI0: SD0DAT7
SDRAM: DQ6
SPI0: MOSI0","","IO","","",
"P200","C5","","","","","","","","NMI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","IRQ: NMI","","None","","",
"P201","E6","CGC_MD","MD","","","","","","IRQ4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","CGC: MD
IRQ: IRQ4","","IO","","",
